Subzone,2022pop
Admiralty,1600
Airport Road,0
Alexandra Hill,3620
Alexandra North,200
Aljunied,8580
Anak Bukit,4360
Anchorvale,4770
Ang Mo Kio Town Centre,860
Anson,0
Bahar,0
Balestier,6510
Bangkit,4100
Bayfront Subzone,0
Bayshore,1070
Bedok North,18310
Bedok Reservoir,4050
Bedok South,10940
Bencoolen,320
Bendemeer,8000
Benoi Sector,0
Bidadari,0
Bishan East,6020
Boat Quay,40
Boon Keng,2710
Boon Lay Place,4090
Boon Teck,3610
Boulevard,80
Braddell,2220
Bras Basah,0
Brickland,0
Brickworks,1800
Bugis,230
Bukit Batok Central,4790
Bukit Batok East,2640
Bukit Batok South,1970
Bukit Batok West,2690
Bukit Ho Swee,3770
Bukit Merah,280
Cairnhill,600
Cecil,10
Central Subzone,70
Central Water Catchment,0
Changi Airport,0
Changi Bay,0
Changi Point,150
Changi West,60
Chatsworth,990
Cheng San,6420
Chin Bee,0
China Square,510
Chinatown,2180
Choa Chu Kang Central,2710
Choa Chu Kang North,3820
Chong Boon,6810
City Hall,0
City Terminals,0
Clarke Quay,0
Cleantech,0
Clementi Central,3250
Clementi North,6770
Clementi West,3390
Clementi Woods,3370
Clifford Pier,0
Commonwealth,1820
Compassvale,2040
Coney Island,0
Coronation Road,1120
Crawford,2640
Dairy Farm,830
Defu Industrial Park,0
Depot Road,1130
Dhoby Ghaut,20
Dover,2330
Dunearn,780
East Coast,0
Everton Park,1910
Faber,630
Fajar,3680
Farrer Court,910
Farrer Park,570
Fernvale,5830
Flora Drive,2100
Forest Hill,0
Fort Canning,20
Frankel,6100
Gali Batu,0
Garden,0
Geylang Bahru,2670
Geylang East,6290
Ghim Moh,3300
Gombak,1690
Goodwood Park,140
Greenwood Park,0
Guilin,2120
Gul Basin,0
Gul Circle,0
Henderson Hill,3470
Hillcrest,1530
Hillview,2930
Holland Drive,3530
Holland Road,1650
Hong Kah,10630
Hong Kah North,4680
Hougang Central,890
Hougang East,3700
Hougang West,9080
Institution Hill,370
International Business Park,0
Istana Negara,0
Jelebu,5180
Joo Koon,0
Joo Seng,1510
Jurong Gateway,20
Jurong Island And Bukom,0
Jurong Port,0
Jurong River,0
Jurong West Central,7630
Kaki Bukit,7300
Kallang Bahru,0
Kallang Way,0
Kampong Bugis,230
Kampong Glam,40
Kampong Java,2290
Kampong Tiong Bahru,2630
Kampong Ubi,2150
Kangkar,5280
Katong,1660
Keat Hong,3060
Kebun Bahru,5450
Kembangan,8400
Kent Ridge,0
Khatib,2050
Kian Teck,0
Kim Keat,1940
Kovan,4510
Kranji,0
Lakeside (Business),0
Lakeside (Leisure),440
Lavender,2050
Leedon Park,1170
Leonie Hill,420
Lim Chu Kang,0
Little India,870
Liu Fang,0
Lorong 8 Toa Payoh,1900
Lorong Ah Soo,6970
Lorong Chuan,1460
Lorong Halus,0
Lorong Halus North,0
Lower Seletar,1080
Loyang East,430
Loyang West,190
Mackenzie,10
Macpherson,5890
Malcolm,540
Mandai East,0
Mandai Estate,290
Mandai West,0
Margaret Drive,4100
Marina Centre,0
Marina East,0
Marina East (Mp),0
Marina South,0
Marine Parade,6060
Maritime Square,550
Marymount,5050
Matilda,4230
Maxwell,0
Mei Chin,3450
Midview,3760
Monk's Hill,160
Moulmein,1080
Mount Emily,130
Mount Pleasant,150
Mountbatten,1760
Murai,10
Nassim,1480
National University Of S'pore,0
Nature Reserve,570
Nee Soon,160
Newton Circus,30
Nicoll,50
North Coast,2390
North-Eastern Islands,0
Northland,4640
Northshore,900
One North,40
One Tree Hill,400
Orange Grove,360
Oxley,260
