Subzone,Planning Area,Population,MalePop,FemalePop,Total_Population
Admiralty,Sembawang,1600,720,910,13660
Airport Road,Paya Lebar,0,0,0,0
Alexandra Hill,Bukit Merah,3620,1640,1980,13350
Alexandra North,Bukit Merah,200,90,110,2830
Aljunied,Geylang,8580,3920,4680,41310
Anak Bukit,Bukit Timah,4360,2030,2330,21820
Anchorvale,Sengkang,4770,2160,2610,50840
Ang Mo Kio Town Centre,Ang Mo Kio,860,370,490,4940
Anson,Downtown Core,0,0,0,90
Bahar,Western Water Catchment,0,0,0,0
Balestier,Novena,6510,2770,3750,32750
Bangkit,Bukit Panjang,4100,1910,2220,21640
Bayfront Subzone,Downtown Core,0,0,0,0
Bayshore,Bedok,1070,500,590,7730
Bedok North,Bedok,18310,8270,10040,82430
Bedok Reservoir,Bedok,4050,1930,2130,25290
Bedok South,Bedok,10940,4890,6040,48400
Bencoolen,Rochor,320,130,190,1260
Bendemeer,Kallang,8000,3550,4430,37450
Benoi Sector,Pioneer,0,0,0,10
Bidadari,Toa Payoh,0,0,0,10
Bishan East,Bishan,6020,2670,3350,27620
Boat Quay,Singapore River,40,10,10,150
Boon Keng,Kallang,2710,1190,1530,11260
Boon Lay Place,Jurong West,4090,1960,2120,28700
Boon Teck,Toa Payoh,3610,1590,2020,15040
Boulevard,Orchard,80,50,40,500
Braddell,Toa Payoh,2220,970,1260,9670
Bras Basah,Museum,0,0,0,10
Brickland,Tengah,0,0,0,0
Brickworks,Bukit Batok,1800,840,980,27790
Bugis,Downtown Core,230,120,120,940
Bukit Batok Central,Bukit Batok,4790,2260,2530,27230
Bukit Batok East,Bukit Batok,2640,1230,1400,12380
Bukit Batok South,Bukit Batok,1970,990,980,14660
Bukit Batok West,Bukit Batok,2690,1270,1450,14600
Bukit Ho Swee,Bukit Merah,3770,1700,2070,13820
Bukit Merah,Bukit Merah,280,130,150,1040
Cairnhill,Newton,600,290,290,4300
Cecil,Downtown Core,10,0,0,470
Central Subzone,Downtown Core,70,40,40,1190
Central Water Catchment,Central Water Catchment,0,0,0,0
